school_name,city_state,district,rank_state_elementary,grade_level,enrollment,student_teacher_ratio,description,source_page,source_raw_school_name
Carver Center,"Midland, TX",Midland Independent School District,1.0,1-6,510,17:1,"Carver Center is a  school located in Midland, TX, which is in a mid-size city setting.  The student population of Carver Center is 510, and the school serves 1 through 6 At Carver Center, 97% scored at...",1,CarverCenter
J Kawas Elementary,"Laredo, TX",Laredo Independent School District,2.0,PK-5,302,13:1,"J Kawas Elementary is a  school located in Laredo, TX, which is in a large city setting.  The student population of J Kawas Elementary is 302, and the school serves PK through 5 At J Kawas Elementary,...",1,J KawasElementary
Windsor Park G/T,"Corpus Christi, TX",Corpus Christi Independent School District,3.0,1-5,593,16:1,"Windsor Park G/T is a  school located in Corpus Christi, TX, which is in a large city setting.  The student population of Windsor Park G/T is 593, and the school serves 1 through 5 At Windsor Park G/T,...",1,Windsor ParkG/T
William B Travis Vanguard Acad of Academically Tag,"Dallas, TX",Dallas Independent School District,4.0,4-8,501,17:1,"William B Travis Vanguard Acad of Academically Tag is a  school located in Dallas, TX, which is in a large city setting.  The student population of William B Travis Vanguard Acad of Academically Tag is...",1,William B Travis Vanguard Acad of AcademicallyTag
Sudie L Williams Talented and Gifted Academy,"Dallas, TX",Dallas Independent School District,5.0,4-8,442,17:1,"Sudie L Williams Talented and Gifted Academy is a  school located in Dallas, TX, which is in a large city setting.  The student population of Sudie L Williams Talented and Gifted Academy is 442, and the...",1,Sudie L Williams Talented and GiftedAcademy
Martha & Josh Morriss Math & Engineering Elementary,"Texarkana, TX",Texarkana Independent School District,6.0,K-5,360,15:1,"Martha & Josh Morriss Math & Engineering Elementary is a  school located in Texarkana, TX, which is in a small city setting.  The student population of Martha & Josh Morriss Math & Engineering Elementary...",1,Martha & Josh Morriss Math & EngineeringElementary
Creekside Forest Elementary,"The Woodlands, TX",Tomball Independent School District,7.0,K-5,692,16:1,"Creekside Forest Elementary is a  school located in The Woodlands, TX, which is in a mid-size city setting.  The student population of Creekside Forest Elementary is 692, and the school serves K through...",1,Creekside ForestElementary
Hudson Elementary,"Longview, TX",Longview Independent School District,8.0,1-5,504,14:1,"Hudson Elementary is a  school located in Longview, TX, which is in a small city setting.  The student population of Hudson Elementary is 504, and the school serves 1 through 5 At Hudson Elementary, 95%...",1,HudsonElementary
Commonwealth Elementary,"Sugar Land, TX",Fort Bend Independent School District,9.0,PK-5,652,14:1,"Commonwealth Elementary is a  school located in Sugar Land, TX, which is in a mid-size city setting.  The student population of Commonwealth Elementary is 652, and the school serves PK through 5 At Commonwealth...",1,CommonwealthElementary
Cactus Ranch Elementary,"Round Rock, TX",Round Rock Independent School District,10.0,PK-5,671,15:1,"Cactus Ranch Elementary is a  school located in Round Rock, TX, which is in a mid-size city setting.  The student population of Cactus Ranch Elementary is 671, and the school serves PK through 5 At Cactus...",1,Cactus RanchElementary
Overton Park Elementary,"Fort Worth, TX",Fort Worth Independent School District,11.0,PK-5,532,16:1,"Overton Park Elementary is a  school located in Fort Worth, TX, which is in a large city setting.  The student population of Overton Park Elementary is 532, and the school serves PK through 5 At Overton...",2,Overton ParkElementary
School for the Talented & Gifted in Pleasant Grove,"Dallas, TX",Dallas Independent School District,12.0,4-8,382,15:1,"School for the Talented & Gifted in Pleasant Grove is a  school located in Dallas, TX, which is in a large city setting.  The student population of School for the Talented & Gifted in Pleasant Grove is...",2,School for the Talented & Gifted in PleasantGrove
T H Rogers School,"Houston, TX",Houston Independent School District,13.0,K-12,"1,058",17:1,"T H Rogers School is a  school located in Houston, TX, which is in a large city setting.  The student population of T H Rogers School is 1058, and the school serves K through 12 At T H Rogers School, 97%...",2,T H RogersSchool
Lakewood Elementary,"Dallas, TX",Dallas Independent School District,14.0,K-5,960,15:1,"Lakewood Elementary is a  school located in Dallas, TX, which is in a large city setting.  The student population of Lakewood Elementary is 960, and the school serves K through 5 At Lakewood Elementary,...",2,LakewoodElementary
Canyon Creek Elementary,"Austin, TX",Round Rock Independent School District,15.0,K-5,349,13:1,"Canyon Creek Elementary is a  school located in Austin, TX, which is in a large city setting.  The student population of Canyon Creek Elementary is 349, and the school serves K through 5 At Canyon Creek...",2,Canyon CreekElementary
Stafford Stem Magnet Academy,"Stafford, TX",Stafford MSchool District,16.0,3-10,322,17:1,"Stafford Stem Magnet Academy is a  school located in Stafford, TX, which is in a large suburb setting.  The student population of Stafford Stem Magnet Academy is 322, and the school serves 3 through 10...",2,Stafford Stem MagnetAcademy
Robert H Rockenbaugh Elementary,"Southlake, TX",Carroll Independent School District,17.0,PK-4,537,13:1,"Robert H Rockenbaugh Elementary is a  school located in Southlake, TX, which is in a large suburb setting.  The student population of Robert H Rockenbaugh Elementary is 537, and the school serves PK through...",2,Robert H RockenbaughElementary
Old Union Elementary,"Southlake, TX",Carroll Independent School District,18.0,PK-4,456,13:1,"Old Union Elementary is a  school located in Southlake, TX, which is in a large suburb setting.  The student population of Old Union Elementary is 456, and the school serves PK through 4 At Old Union Elementary,...",2,Old UnionElementary
Walnut Grove Elementary,"Southlake, TX",Carroll Independent School District,19.0,K-4,613,14:1,"Walnut Grove Elementary is a  school located in Southlake, TX, which is in a large suburb setting.  The student population of Walnut Grove Elementary is 613, and the school serves K through 4 At Walnut...",2,Walnut GroveElementary
Bess Campbell Elementary,"Sugar Land, TX",,20.0,PK-5,425,14:1,"Bess Campbell Elementary is a  school located in Sugar Land, TX, which is in a mid-size city setting.  The student population of Bess Campbell Elementary is 425, and the school serves PK through 5 At Bess...",2,Bess CampbellElementary
Carroll Elementary,"Southlake, TX",Carroll Independent School District,21.0,PK-4,630,14:1,"Carroll Elementary is a  school located in Southlake, TX, which is in a large suburb setting.  The student population of Carroll Elementary is 630, and the school serves PK through 4 At Carroll Elementary,...",3,CarrollElementary
Laurel Mountain Elementary,"Austin, TX",Round Rock Independent School District,22.0,PK-5,811,15:1,"Laurel Mountain Elementary is a  school located in Austin, TX, which is in a large city setting.  The student population of Laurel Mountain Elementary is 811, and the school serves PK through 5 At Laurel...",3,Laurel MountainElementary
Basis Austin,"Austin, TX",,23.0,3-8,211,14:1,"Basis Austin is a  school located in Austin, TX, which is in a large city setting.  The student population of Basis Austin is 211, and the school serves 3 through 8 At Basis Austin, 89% scored at or above...",3,BasisAustin
Patsy Sommer Elementary,"Austin, TX",Round Rock Independent School District,24.0,PK-5,874,15:1,"Patsy Sommer Elementary is a  school located in Austin, TX, which is in a large city setting.  The student population of Patsy Sommer Elementary is 874, and the school serves PK through 5 At Patsy Sommer...",3,Patsy SommerElementary
Devers Elementary,"Devers, TX",,25.0,PK-5,131,17:1,"Devers Elementary is a  school located in Devers, TX, which is in a distant rural setting.  The student population of Devers Elementary is 131, and the school serves PK through 5 At Devers Elementary,...",3,DeversElementary
Brentfield Elementary,"Dallas, TX",Richardson Independent School District,26.0,PK-6,812,15:1,"Brentfield Elementary is a  school located in Dallas, TX, which is in a large city setting.  The student population of Brentfield Elementary is 812, and the school serves PK through 6 At Brentfield Elementary,...",3,BrentfieldElementary
Emma Vera Elementary,"Roma, TX",Roma Independent School District,27.0,PK-5,483,15:1,"Emma Vera Elementary is a  school located in Roma, TX, which is in a fringe rural setting.  The student population of Emma Vera Elementary is 483, and the school serves PK through 5 At Emma Vera Elementary,...",3,Emma VeraElementary
West University Elementary,"Houston, TX",Houston Independent School District,28.0,PK-5,"1,131",19:1,"West University Elementary is a  school located in Houston, TX, which is in a large suburb setting.  The student population of West University Elementary is 1131, and the school serves PK through 5 At...",3,West UniversityElementary
Mary Evans Elementary,"Allen, TX",Allen Independent School District,29.0,K-6,701,16:1,"Mary Evans Elementary is a  school located in Allen, TX, which is in a large suburb setting.  The student population of Mary Evans Elementary is 701, and the school serves K through 6 At Mary Evans Elementary,...",3,Mary EvansElementary
Prairie Creek Elementary,"Richardson, TX",Richardson Independent School District,30.0,K-6,280,12:1,"Prairie Creek Elementary is a  school located in Richardson, TX, which is in a mid-size city setting.  The student population of Prairie Creek Elementary is 280, and the school serves K through 6 At Prairie...",3,Prairie CreekElementary
River Oaks Elementary,"Houston, TX",Houston Independent School District,31.0,PK-5,744,18:1,"River Oaks Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of River Oaks Elementary is 744, and the school serves PK through 5 At River Oaks Elementary,...",4,River OaksElementary
Talley Elementary,"Frisco, TX",Frisco Independent School District,32.0,K-5,693,16:1,"Talley Elementary is a  school located in Frisco, TX, which is in a large suburb setting.  The student population of Talley Elementary is 693, and the school serves K through 5 At Talley Elementary, 86%...",4,TalleyElementary
Skaggs Elementary,"Plano, TX",Plano Independent School District,33.0,K-5,338,11:1,"Skaggs Elementary is a  school located in Plano, TX, which is in a large city setting.  The student population of Skaggs Elementary is 338, and the school serves K through 5 At Skaggs Elementary, 87% scored...",4,SkaggsElementary
Glenhope Elementary,"Colleyville, TX",Grapevine-Colleyville Independent School District,34.0,PK-5,546,14:1,"Glenhope Elementary is a  school located in Colleyville, TX, which is in a large suburb setting.  The student population of Glenhope Elementary is 546, and the school serves PK through 5 At Glenhope Elementary,...",4,GlenhopeElementary
Elsa England Elementary,"Austin, TX",Round Rock Independent School District,35.0,PK-5,"1,012",16:1,"Elsa England Elementary is a  school located in Austin, TX, which is in a large suburb setting.  The student population of Elsa England Elementary is 1012, and the school serves PK through 5 At Elsa England...",4,Elsa EnglandElementary
El Magnet at Reagan Elementary,"Odessa, TX",Ector County Independent School District,36.0,PK-5,662,21:1,"El Magnet at Reagan Elementary is a  school located in Odessa, TX, which is in a mid-size city setting.  The student population of El Magnet at Reagan Elementary is 662, and the school serves PK through...",4,El Magnet at ReaganElementary
Silvercrest Elementary,"Pearland, TX",Pearland Independent School District,37.0,PK-4,653,17:1,"Silvercrest Elementary is a  school located in Pearland, TX, which is in a large suburb setting.  The student population of Silvercrest Elementary is 653, and the school serves PK through 4 At Silvercrest...",4,SilvercrestElementary
Mandarin Immersion Magnet School,"Houston, TX",Houston Independent School District,38.0,PK-8,792,17:1,"Mandarin Immersion Magnet School is a  school located in Houston, TX, which is in a large city setting.  The student population of Mandarin Immersion Magnet School is 792, and the school serves PK through...",4,Mandarin Immersion MagnetSchool
Griffin Elementary,"Katy, TX",Katy Independent School District,39.0,PK-5,778,13:1,"Griffin Elementary is a  school located in Katy, TX, which is in a large suburb setting.  The student population of Griffin Elementary is 778, and the school serves PK through 5 At Griffin Elementary,...",4,GriffinElementary
Wilchester Elementary,"Houston, TX",Spring Branch Independent School District,40.0,PK-5,862,18:1,"Wilchester Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of Wilchester Elementary is 862, and the school serves PK through 5 At Wilchester Elementary,...",4,WilchesterElementary
Mcspedden Elementary,"Frisco, TX",Frisco Independent School District,41.0,PK-5,747,17:1,"Mcspedden Elementary is a  school located in Frisco, TX, which is in a large suburb setting.  The student population of Mcspedden Elementary is 747, and the school serves PK through 5 At Mcspedden Elementary,...",5,McspeddenElementary
Bluebonnet Elementary,"Flower Mound, TX",Lewisville Independent School District,42.0,K-5,672,16:1,"Bluebonnet Elementary is a  school located in Flower Mound, TX, which is in a large suburb setting.  The student population of Bluebonnet Elementary is 672, and the school serves K through 5 At Bluebonnet...",5,BluebonnetElementary
Tibbals Elementary,"Wylie, TX",Wylie Independent School District,43.0,PK-4,649,15:1,"Tibbals Elementary is a  school located in Wylie, TX, which is in a large suburb setting.  The student population of Tibbals Elementary is 649, and the school serves PK through 4 At Tibbals Elementary,...",5,TibbalsElementary
Kimberlin Acad for Excel,"Garland, TX",Garland Independent School District,44.0,K-5,501,15:1,"Kimberlin Acad for Excel is a  school located in Garland, TX, which is in a large suburb setting.  The student population of Kimberlin Acad for Excel is 501, and the school serves K through 5 At Kimberlin...",5,Kimberlin Acad forExcel
Ray and Jamie Wolman Elementary,"Katy, TX",Katy Independent School District,45.0,PK-5,"1,025",14:1,"Ray and Jamie Wolman Elementary is a  school located in Katy, TX, which is in a large suburb setting.  The student population of Ray and Jamie Wolman Elementary is 1025, and the school serves PK through...",5,Ray and Jamie WolmanElementary
South Bosque Elementary,"Waco, TX",Midway Independent School District,46.0,PK-5,564,15:1,"South Bosque Elementary is a  school located in Waco, TX, which is in a mid-size suburb setting.  The student population of South Bosque Elementary is 564, and the school serves PK through 5 At South Bosque...",5,South BosqueElementary
Anne Mccormick Sullivan Elementary,"Sugar Land, TX",Fort Bend Independent School District,47.0,PK-5,"1,066",18:1,"Anne Mccormick Sullivan Elementary is a  school located in Sugar Land, TX, which is in a large suburb setting.  The student population of Anne Mccormick Sullivan Elementary is 1066, and the school serves...",5,Anne Mccormick SullivanElementary
Hazel S Pattison Elementary,"Katy, TX",Katy Independent School District,48.0,PK-5,"1,237",15:1,"Hazel S Pattison Elementary is a  school located in Katy, TX, which is in a large suburb setting.  The student population of Hazel S Pattison Elementary is 1237, and the school serves PK through 5 At Hazel...",5,Hazel S PattisonElementary
Pope Elementary,"Cypress, TX",Cypress-Fairbanks Independent School District,49.0,PK-5,990,16:1,"Pope Elementary is a  school located in Cypress, TX, which is in a large suburb setting.  The student population of Pope Elementary is 990, and the school serves PK through 5 At Pope Elementary, 84% scored...",5,PopeElementary
Jack D Johnson Elementary,"Southlake, TX",Carroll Independent School District,50.0,K-4,662,15:1,"Jack D Johnson Elementary is a  school located in Southlake, TX, which is in a large suburb setting.  The student population of Jack D Johnson Elementary is 662, and the school serves K through 4 At Jack...",5,Jack D JohnsonElementary
Canyon Ranch Elementary,"Irving, TX",Coppell Independent School District,51.0,K-5,718,14:1,"Canyon Ranch Elementary is a  school located in Irving, TX, which is in a large city setting.  The student population of Canyon Ranch Elementary is 718, and the school serves K through 5 At Canyon Ranch...",6,Canyon RanchElementary
Barton Creek Elementary,"Austin, TX",Eanes Independent School District,52.0,K-5,536,13:1,"Barton Creek Elementary is a  school located in Austin, TX, which is in a large suburb setting.  The student population of Barton Creek Elementary is 536, and the school serves K through 5 At Barton Creek...",6,Barton CreekElementary
Florence J Scott Elementary,"Roma, TX",Roma Independent School District,53.0,PK-5,510,15:1,"Florence J Scott Elementary is a  school located in Roma, TX, which is in a distant town setting.  The student population of Florence J Scott Elementary is 510, and the school serves PK through 5 At Florence...",6,Florence J ScottElementary
Eubanks Int,"Southlake, TX",Carroll Independent School District,54.0,5-6,594,16:1,"Eubanks Int is a  school located in Southlake, TX, which is in a large suburb setting.  The student population of Eubanks Int is 594, and the school serves 5 through 6 At Eubanks Int, 89% scored at or...",6,EubanksInt
Highland Park Elementary,"Austin, TX",Austin Independent School District,55.0,K-5,651,15:1,"Highland Park Elementary is a  school located in Austin, TX, which is in a large city setting.  The student population of Highland Park Elementary is 651, and the school serves K through 5 At Highland...",6,Highland ParkElementary
